postcode,postcode_status,LSOA_code,LSOA_name,index_of_multiple_deprivation_rank int,index_of_multiple_deprivation_decile
GL50 1LE,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1LF,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1LG,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1LH,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1LJ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1LL,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1LN,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1LP,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1LQ,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1LR,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1LS,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1LT,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1LU,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1LW,Terminated,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1LX,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1LY,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1LZ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1NA,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1NB,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1ND,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1NE,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1NF,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1NG,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1NH,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1NJ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1NL,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1NN,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1NP,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1NQ,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1NR,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1NS,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1NU,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1NW,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1NX,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1NY,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1NZ,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
